shoot_height_cm,trunk_circumference_cm,shoot_age_months,num_leaves,leaf_color,bark_color,bark_texture,straightness,harvest_readiness
98,3.69,18,13,brownish green,light brown,smooth and soft,slightly straight,Ready
124,3.1,8,12,yellowish green,light brown,slightly rough,slightly straight,Not Ready
174,2.89,10,12,dark green,medium brown,smooth and soft,very straight,Borderline
160,2.57,21,17,brownish green,light brown,smooth and soft,slightly straight,Ready
171,3.99,23,15,yellowish green,dark brown,rough and peeling,very straight,Ready
126,3.7,17,18,brownish green,dark brown,rough and peeling,slightly straight,Ready
109,2.6,8,12,yellowish green,medium brown,rough and peeling,slightly straight,Borderline
179,3.92,20,17,yellowish green,dark brown,slightly rough,very straight,Ready
135,2.67,10,11,dark green,medium brown,slightly rough,very straight,Not Ready
140,3.98,19,20,yellowish green,dark brown,rough and peeling,slightly straight,Ready
158,3.95,21,14,yellowish green,dark brown,rough and peeling,slightly straight,Ready
98,3.31,13,17,yellowish green,medium brown,slightly rough,very straight,Borderline
55,1.21,8,7,bright green,green,smooth and soft,very straight,Not Ready
164,2.12,10,12,dark green,dark brown,rough and peeling,slightly straight,Borderline
96,3.46,20,21,yellowish green,medium brown,rough and peeling,slightly straight,Borderline
164,3.71,18,17,yellowish green,dark brown,rough and peeling,slightly straight,Ready
166,2.66,9,13,yellowish green,light brown,rough and peeling,very straight,Borderline
45,1.63,9,8,dark green,green,smooth and soft,curved,Not Ready
120,5.84,21,18,yellowish green,dark brown,rough and peeling,curved,Ready
92,1.97,10,8,dark green,green,smooth and soft,very straight,Not Ready
142,5.31,20,21,yellowish green,medium brown,slightly rough,very straight,Ready
129,3.21,17,17,brownish green,light brown,smooth and soft,curved,Borderline
169,4.01,18,18,brownish green,light brown,smooth and soft,slightly straight,Ready
98,1.18,10,13,dark green,green,smooth and soft,very straight,Not Ready
172,3.57,16,19,yellowish green,dark brown,rough and peeling,very straight,Ready
103,2.47,9,15,yellowish green,medium brown,slightly rough,curved,Not Ready
178,3.56,18,17,dark green,dark brown,rough and peeling,very straight,Ready
174,3.44,19,21,yellowish green,light brown,smooth and soft,very straight,Borderline
151,2.75,9,6,yellowish green,dark brown,rough and peeling,slightly straight,Borderline
178,3.6,19,21,dark green,medium brown,slightly rough,very straight,Ready
141,3.32,15,10,dark green,medium brown,rough and peeling,slightly straight,Borderline
117,2.95,24,19,brownish green,medium brown,rough and peeling,curved,Borderline
84,2.99,8,13,dark green,medium brown,rough and peeling,slightly straight,Borderline
137,2.61,23,20,yellowish green,light brown,smooth and soft,curved,Borderline
152,2.58,12,18,brownish green,light brown,slightly rough,slightly straight,Borderline
145,4.19,22,17,brownish green,medium brown,slightly rough,slightly straight,Ready
168,2.8,18,18,brownish green,dark brown,rough and peeling,very straight,Ready
124,3.3,22,9,brownish green,light brown,slightly rough,very straight,Ready
145,3.72,23,17,dark green,medium brown,slightly rough,slightly straight,Ready
133,2.06,8,13,dark green,light brown,slightly rough,very straight,Not Ready
141,5.03,20,15,yellowish green,dark brown,rough and peeling,very straight,Ready
89,1.79,10,11,dark green,green,smooth and soft,very straight,Not Ready
121,2.87,9,8,yellowish green,medium brown,rough and peeling,slightly straight,Borderline
159,2.21,9,15,yellowish green,light brown,slightly rough,slightly straight,Borderline
128,1.76,9,10,yellowish green,medium brown,slightly rough,very straight,Borderline
153,3.79,21,19,brownish green,dark brown,slightly rough,very straight,Ready
137,4.34,18,16,dark green,dark brown,rough and peeling,very straight,Ready
163,2.08,10,11,bright green,light brown,slightly rough,slightly straight,Not Ready
97,3.78,20,15,brownish green,dark brown,rough and peeling,slightly straight,Not Ready
154,2.21,11,11,dark green,light brown,smooth and soft,slightly straight,Not Ready
169,2.52,24,20,yellowish green,dark brown,slightly rough,slightly straight,Borderline
95,3.11,24,21,dark green,dark brown,rough and peeling,very straight,Ready
138,4.69,21,21,yellowish green,dark brown,rough and peeling,very straight,Ready
44,1.31,8,13,bright green,green,smooth and soft,slightly straight,Not Ready
124,3.95,20,13,brownish green,dark brown,rough and peeling,slightly straight,Ready
173,2.61,13,12,brownish green,dark brown,rough and peeling,slightly straight,Ready
163,3.05,22,19,yellowish green,dark brown,rough and peeling,slightly straight,Ready
144,3.86,24,20,brownish green,medium brown,smooth and soft,slightly straight,Ready
161,2.94,11,11,yellowish green,light brown,slightly rough,very straight,Borderline
120,3.87,21,9,yellowish green,dark brown,rough and peeling,very straight,Ready
101,1.22,10,10,bright green,light brown,smooth and soft,slightly straight,Not Ready
83,1.85,9,10,bright green,green,smooth and soft,very straight,Not Ready
105,4.33,19,15,yellowish green,dark brown,slightly rough,slightly straight,Ready
141,3.33,17,17,yellowish green,dark brown,rough and peeling,slightly straight,Ready
135,3.74,24,20,dark green,medium brown,slightly rough,slightly straight,Borderline
80,3.73,20,15,bright green,dark brown,rough and peeling,slightly straight,Ready
130,3.0,21,15,dark green,medium brown,slightly rough,slightly straight,Ready
81,2.02,10,10,bright green,light brown,slightly rough,slightly straight,Not Ready
105,2.82,15,12,yellowish green,dark brown,slightly rough,slightly straight,Borderline
175,3.84,24,17,brownish green,light brown,smooth and soft,very straight,Not Ready
151,3.42,12,18,yellowish green,medium brown,rough and peeling,slightly straight,Ready
146,2.65,10,15,dark green,light brown,smooth and soft,very straight,Borderline
170,3.73,19,13,brownish green,dark brown,rough and peeling,slightly straight,Ready
116,1.49,8,6,bright green,light brown,smooth and soft,slightly straight,Not Ready
100,3.38,21,11,brownish green,dark brown,rough and peeling,very straight,Ready
180,3.44,23,12,dark green,medium brown,rough and peeling,very straight,Ready
177,4.54,18,18,brownish green,dark brown,rough and peeling,slightly straight,Ready
111,3.12,15,13,bright green,medium brown,slightly rough,very straight,Ready
53,1.25,8,8,bright green,light brown,slightly rough,curved,Not Ready
117,3.38,24,19,dark green,light brown,slightly rough,very straight,Borderline
127,2.68,18,15,brownish green,dark brown,rough and peeling,very straight,Not Ready
89,1.46,10,9,bright green,green,smooth and soft,very straight,Not Ready
114,1.66,8,9,bright green,green,smooth and soft,slightly straight,Not Ready
98,3.65,20,17,dark green,dark brown,rough and peeling,very straight,Ready
145,3.62,24,21,brownish green,medium brown,smooth and soft,very straight,Not Ready
80,2.55,11,13,brownish green,light brown,slightly rough,very straight,Not Ready
97,2.4,9,12,brownish green,green,smooth and soft,slightly straight,Not Ready
156,3.1,21,16,yellowish green,medium brown,slightly rough,slightly straight,Ready
150,2.51,20,19,yellowish green,medium brown,rough and peeling,very straight,Ready
137,2.73,10,12,dark green,light brown,slightly rough,slightly straight,Not Ready
92,1.66,10,7,bright green,light brown,slightly rough,slightly straight,Not Ready
104,2.79,12,16,yellowish green,medium brown,slightly rough,very straight,Borderline
87,3.98,12,15,yellowish green,dark brown,rough and peeling,very straight,Ready
152,3.27,19,17,brownish green,light brown,slightly rough,slightly straight,Not Ready
178,3.64,23,16,dark green,medium brown,rough and peeling,slightly straight,Ready
167,3.63,23,12,dark green,dark brown,smooth and soft,very straight,Ready
103,2.8,10,16,bright green,light brown,smooth and soft,slightly straight,Not Ready
91,2.73,22,14,yellowish green,medium brown,smooth and soft,very straight,Not Ready
173,3.66,19,16,yellowish green,dark brown,rough and peeling,curved,Ready
176,3.33,19,14,dark green,dark brown,rough and peeling,very straight,Ready
116,4.25,20,19,yellowish green,medium brown,rough and peeling,very straight,Ready
165,3.28,15,12,dark green,medium brown,smooth and soft,slightly straight,Not Ready
98,2.22,11,13,dark green,medium brown,slightly rough,very straight,Not Ready
148,2.84,13,14,yellowish green,medium brown,smooth and soft,very straight,Borderline
175,2.08,9,14,brownish green,light brown,slightly rough,slightly straight,Borderline
97,2.13,9,14,dark green,medium brown,slightly rough,slightly straight,Not Ready
105,3.58,12,14,dark green,dark brown,slightly rough,very straight,Borderline
132,2.56,10,12,dark green,medium brown,smooth and soft,very straight,Not Ready
148,3.28,18,14,yellowish green,medium brown,rough and peeling,very straight,Ready
129,2.67,15,7,brownish green,medium brown,slightly rough,very straight,Ready
145,2.89,21,16,yellowish green,light brown,slightly rough,slightly straight,Ready
174,3.23,21,17,brownish green,medium brown,smooth and soft,very straight,Ready
136,3.47,18,17,yellowish green,light brown,smooth and soft,slightly straight,Borderline
172,2.55,9,17,brownish green,medium brown,rough and peeling,very straight,Ready
170,3.56,22,19,yellowish green,medium brown,slightly rough,slightly straight,Ready
92,3.27,19,18,dark green,medium brown,smooth and soft,slightly straight,Borderline
125,3.03,13,17,dark green,medium brown,slightly rough,very straight,Borderline
101,2.21,10,11,brownish green,medium brown,slightly rough,very straight,Not Ready
168,2.54,10,14,dark green,medium brown,rough and peeling,slightly straight,Ready
80,2.62,9,17,yellowish green,medium brown,slightly rough,slightly straight,Not Ready
87,3.71,15,17,brownish green,dark brown,rough and peeling,very straight,Ready
179,3.07,15,17,yellowish green,dark brown,rough and peeling,very straight,Ready
122,4.15,21,18,dark green,medium brown,slightly rough,very straight,Borderline
111,2.04,11,8,bright green,green,slightly rough,slightly straight,Not Ready
142,2.97,9,11,dark green,light brown,smooth and soft,very straight,Not Ready
138,4.09,23,16,yellowish green,dark brown,slightly rough,very straight,Ready
163,3.94,18,14,dark green,medium brown,rough and peeling,very straight,Ready
142,5.0,20,20,yellowish green,medium brown,slightly rough,slightly straight,Ready
173,4.15,20,18,bright green,medium brown,slightly rough,slightly straight,Ready
115,3.12,16,17,brownish green,medium brown,rough and peeling,slightly straight,Ready
122,4.49,19,20,brownish green,dark brown,rough and peeling,slightly straight,Ready
149,2.21,10,13,dark green,dark brown,rough and peeling,curved,Borderline
101,1.69,9,7,dark green,green,smooth and soft,curved,Not Ready
161,3.23,14,20,brownish green,dark brown,slightly rough,slightly straight,Not Ready
82,1.52,8,14,bright green,light brown,smooth and soft,slightly straight,Not Ready
135,3.07,8,19,dark green,medium brown,smooth and soft,curved,Not Ready
139,3.46,12,14,yellowish green,light brown,slightly rough,very straight,Borderline
145,3.46,21,17,brownish green,dark brown,rough and peeling,slightly straight,Ready
96,2.06,8,16,yellowish green,light brown,slightly rough,very straight,Not Ready
142,2.52,8,19,dark green,light brown,smooth and soft,slightly straight,Not Ready
91,3.5,13,9,yellowish green,dark brown,rough and peeling,slightly straight,Borderline
87,1.16,11,18,bright green,green,smooth and soft,curved,Not Ready
109,1.97,8,11,dark green,medium brown,slightly rough,very straight,Not Ready
150,3.25,21,17,bright green,medium brown,slightly rough,very straight,Ready
165,2.77,14,16,yellowish green,medium brown,slightly rough,slightly straight,Ready
148,3.71,12,13,dark green,medium brown,rough and peeling,very straight,Ready
50,0.92,11,6,dark green,green,smooth and soft,curved,Not Ready
176,3.54,20,16,yellowish green,dark brown,rough and peeling,slightly straight,Ready
143,4.73,24,21,brownish green,dark brown,rough and peeling,very straight,Ready
129,2.44,8,10,dark green,light brown,smooth and soft,very straight,Not Ready
96,3.54,13,13,yellowish green,medium brown,slightly rough,very straight,Not Ready
97,2.1,9,15,bright green,light brown,smooth and soft,slightly straight,Not Ready
166,3.26,18,17,bright green,dark brown,rough and peeling,slightly straight,Ready
148,3.69,16,12,dark green,light brown,smooth and soft,very straight,Ready
108,2.65,17,20,dark green,dark brown,smooth and soft,very straight,Borderline
131,2.92,21,19,brownish green,medium brown,slightly rough,very straight,Ready
127,2.25,10,12,dark green,medium brown,rough and peeling,very straight,Borderline
59,1.5,8,3,bright green,green,smooth and soft,curved,Not Ready
117,2.68,11,10,yellowish green,medium brown,smooth and soft,slightly straight,Not Ready
104,2.65,12,18,bright green,medium brown,slightly rough,slightly straight,Ready
157,2.91,13,12,bright green,light brown,slightly rough,very straight,Borderline
114,2.02,10,7,bright green,light brown,slightly rough,slightly straight,Not Ready
87,2.5,8,14,dark green,dark brown,slightly rough,slightly straight,Borderline
106,2.81,15,13,dark green,medium brown,slightly rough,very straight,Ready
136,3.45,15,13,dark green,medium brown,rough and peeling,slightly straight,Borderline
84,3.2,19,12,yellowish green,dark brown,rough and peeling,very straight,Ready
83,1.89,11,14,bright green,light brown,smooth and soft,very straight,Not Ready
115,2.54,11,11,dark green,medium brown,slightly rough,very straight,Borderline
156,2.84,22,20,yellowish green,medium brown,smooth and soft,slightly straight,Ready
134,6.09,24,20,yellowish green,dark brown,rough and peeling,slightly straight,Ready
51,1.3,9,8,bright green,light brown,smooth and soft,curved,Not Ready
120,4.08,24,17,dark green,dark brown,rough and peeling,very straight,Ready
124,3.31,13,12,dark green,green,smooth and soft,slightly straight,Not Ready
125,2.37,11,14,yellowish green,medium brown,slightly rough,very straight,Ready
128,4.25,18,14,dark green,dark brown,rough and peeling,slightly straight,Ready
123,2.91,20,13,yellowish green,dark brown,rough and peeling,very straight,Ready
155,2.58,11,8,yellowish green,medium brown,slightly rough,very straight,Borderline
164,3.28,19,22,yellowish green,medium brown,slightly rough,slightly straight,Ready
151,4.4,24,20,yellowish green,medium brown,slightly rough,slightly straight,Ready
115,2.37,8,7,dark green,light brown,smooth and soft,slightly straight,Not Ready
104,2.65,24,17,yellowish green,light brown,slightly rough,slightly straight,Borderline
59,1.38,10,4,bright green,green,smooth and soft,curved,Not Ready
165,3.63,13,15,yellowish green,dark brown,rough and peeling,very straight,Ready
122,2.25,15,14,dark green,medium brown,slightly rough,slightly straight,Not Ready
85,3.16,10,11,yellowish green,light brown,smooth and soft,slightly straight,Not Ready
103,4.17,19,18,yellowish green,medium brown,rough and peeling,slightly straight,Ready
172,2.84,9,16,dark green,dark brown,slightly rough,slightly straight,Borderline
155,2.59,10,10,yellowish green,light brown,smooth and soft,curved,Not Ready
123,3.15,16,14,yellowish green,medium brown,rough and peeling,slightly straight,Not Ready
180,2.58,14,16,dark green,medium brown,rough and peeling,curved,Borderline
151,4.59,24,18,yellowish green,dark brown,smooth and soft,very straight,Ready
179,2.86,14,17,dark green,medium brown,smooth and soft,slightly straight,Borderline
154,2.99,16,13,yellowish green,medium brown,smooth and soft,slightly straight,Ready
138,3.06,11,14,dark green,medium brown,smooth and soft,very straight,Not Ready
154,4.33,19,16,brownish green,medium brown,slightly rough,very straight,Ready
164,2.59,10,14,dark green,dark brown,slightly rough,very straight,Borderline
97,2.17,11,15,dark green,medium brown,slightly rough,very straight,Not Ready
165,4.53,18,15,yellowish green,light brown,smooth and soft,very straight,Ready
51,1.25,11,9,bright green,green,smooth and soft,curved,Not Ready
158,3.67,13,10,dark green,light brown,smooth and soft,very straight,Borderline
107,2.58,10,18,dark green,green,smooth and soft,very straight,Not Ready
127,2.92,13,17,yellowish green,medium brown,slightly rough,slightly straight,Borderline
159,2.47,18,14,yellowish green,medium brown,smooth and soft,very straight,Borderline
128,3.16,14,11,dark green,light brown,smooth and soft,slightly straight,Borderline
102,3.55,24,16,brownish green,dark brown,slightly rough,very straight,Ready
111,2.56,11,9,yellowish green,light brown,smooth and soft,very straight,Not Ready
130,3.78,20,17,dark green,dark brown,rough and peeling,slightly straight,Ready
170,3.69,24,24,dark green,dark brown,rough and peeling,very straight,Ready
130,2.39,10,15,yellowish green,light brown,slightly rough,very straight,Not Ready
152,4.47,19,20,dark green,dark brown,rough and peeling,very straight,Ready
126,2.88,11,16,yellowish green,medium brown,rough and peeling,very straight,Borderline
44,1.23,10,3,bright green,green,smooth and soft,slightly straight,Not Ready
91,2.19,10,9,yellowish green,medium brown,rough and peeling,slightly straight,Not Ready
90,2.73,12,15,yellowish green,medium brown,slightly rough,very straight,Borderline
121,2.94,12,14,dark green,dark brown,slightly rough,slightly straight,Not Ready
118,3.87,18,20,dark green,light brown,smooth and soft,very straight,Borderline
120,3.62,19,17,yellowish green,dark brown,slightly rough,slightly straight,Ready
151,3.48,19,18,yellowish green,dark brown,rough and peeling,very straight,Ready
176,3.74,19,19,brownish green,medium brown,slightly rough,very straight,Ready
127,4.06,20,18,yellowish green,dark brown,rough and peeling,slightly straight,Ready
87,2.23,16,15,dark green,light brown,smooth and soft,slightly straight,Not Ready
175,3.57,13,16,yellowish green,medium brown,rough and peeling,slightly straight,Ready
139,6.63,23,12,yellowish green,medium brown,slightly rough,slightly straight,Ready
86,2.31,9,14,brownish green,medium brown,slightly rough,very straight,Not Ready
152,5.8,18,17,yellowish green,medium brown,slightly rough,slightly straight,Ready
131,3.53,23,12,brownish green,dark brown,slightly rough,very straight,Not Ready
139,3.41,15,12,yellowish green,medium brown,slightly rough,slightly straight,Borderline
173,3.24,21,19,dark green,medium brown,slightly rough,very straight,Ready
179,3.49,23,13,dark green,dark brown,rough and peeling,very straight,Ready
116,1.38,8,10,bright green,green,smooth and soft,very straight,Not Ready
170,3.94,19,16,brownish green,medium brown,rough and peeling,curved,Ready
147,2.73,8,17,yellowish green,light brown,slightly rough,very straight,Borderline
152,3.34,13,11,yellowish green,light brown,smooth and soft,slightly straight,Borderline
159,2.23,23,17,dark green,dark brown,slightly rough,slightly straight,Not Ready
180,3.4,19,17,yellowish green,dark brown,slightly rough,slightly straight,Borderline
141,2.84,8,13,dark green,light brown,slightly rough,very straight,Borderline
94,2.07,10,18,yellowish green,light brown,smooth and soft,very straight,Not Ready
129,4.03,18,17,yellowish green,dark brown,rough and peeling,slightly straight,Ready
137,3.76,21,12,brownish green,dark brown,smooth and soft,slightly straight,Ready
170,2.94,10,14,dark green,medium brown,slightly rough,very straight,Borderline
155,2.01,10,12,bright green,medium brown,rough and peeling,very straight,Borderline
178,3.3,14,19,dark green,medium brown,slightly rough,very straight,Borderline
125,3.82,24,24,yellowish green,dark brown,slightly rough,very straight,Ready
150,6.3,22,15,yellowish green,dark brown,rough and peeling,very straight,Ready
161,2.56,16,16,dark green,light brown,slightly rough,very straight,Borderline
117,2.45,8,13,dark green,green,smooth and soft,very straight,Not Ready
164,2.96,24,17,yellowish green,dark brown,slightly rough,very straight,Ready
151,3.12,15,15,dark green,dark brown,rough and peeling,very straight,Ready
108,2.49,11,14,bright green,light brown,slightly rough,slightly straight,Not Ready
87,3.32,17,19,dark green,light brown,smooth and soft,slightly straight,Not Ready
100,2.86,10,12,dark green,medium brown,slightly rough,very straight,Not Ready
134,3.16,13,12,yellowish green,dark brown,rough and peeling,very straight,Ready
122,3.54,18,6,dark green,dark brown,rough and peeling,slightly straight,Ready
156,3.85,20,18,dark green,light brown,smooth and soft,very straight,Borderline
148,3.02,13,15,brownish green,green,smooth and soft,slightly straight,Borderline
113,2.7,8,13,yellowish green,medium brown,slightly rough,very straight,Ready
164,3.08,15,15,yellowish green,light brown,slightly rough,very straight,Ready
138,3.72,8,14,bright green,medium brown,slightly rough,slightly straight,Borderline
95,2.31,11,13,dark green,light brown,smooth and soft,very straight,Not Ready
98,1.21,9,8,bright green,green,smooth and soft,slightly straight,Not Ready
121,3.45,13,17,dark green,dark brown,slightly rough,slightly straight,Borderline
125,3.06,13,15,brownish green,medium brown,smooth and soft,curved,Not Ready
47,1.19,9,8,bright green,medium brown,smooth and soft,slightly straight,Not Ready
85,2.52,14,14,brownish green,dark brown,rough and peeling,slightly straight,Not Ready
158,2.57,9,11,bright green,medium brown,slightly rough,very straight,Borderline
179,3.65,16,13,dark green,dark brown,rough and peeling,slightly straight,Ready
151,5.63,20,20,yellowish green,light brown,slightly rough,very straight,Ready
156,2.71,8,10,yellowish green,light brown,slightly rough,very straight,Borderline
162,2.95,21,20,dark green,medium brown,rough and peeling,slightly straight,Ready
174,3.0,14,8,yellowish green,light brown,slightly rough,slightly straight,Borderline
179,3.36,13,14,brownish green,dark brown,rough and peeling,slightly straight,Ready
176,3.04,11,17,yellowish green,medium brown,slightly rough,curved,Borderline
169,4.3,24,21,yellowish green,medium brown,slightly rough,curved,Ready
115,4.09,23,18,dark green,dark brown,rough and peeling,very straight,Ready
143,3.44,19,17,brownish green,dark brown,rough and peeling,very straight,Ready
148,2.68,9,20,bright green,dark brown,rough and peeling,slightly straight,Borderline
47,1.17,11,4,bright green,green,smooth and soft,slightly straight,Not Ready
86,2.86,10,17,yellowish green,medium brown,slightly rough,slightly straight,Not Ready
93,1.77,11,15,bright green,green,smooth and soft,curved,Not Ready
139,3.54,15,14,dark green,medium brown,smooth and soft,slightly straight,Borderline
160,3.61,21,18,bright green,medium brown,rough and peeling,slightly straight,Ready
157,4.22,20,13,brownish green,dark brown,rough and peeling,very straight,Ready
98,2.11,8,9,dark green,light brown,slightly rough,very straight,Not Ready
173,3.42,15,15,dark green,dark brown,rough and peeling,very straight,Ready
134,3.05,16,10,dark green,medium brown,slightly rough,very straight,Borderline
126,3.43,23,19,brownish green,dark brown,slightly rough,very straight,Not Ready
104,2.42,8,15,dark green,light brown,slightly rough,curved,Not Ready
161,4.54,23,23,brownish green,medium brown,rough and peeling,slightly straight,Ready
166,2.95,9,18,dark green,light brown,slightly rough,slightly straight,Borderline
179,5.54,21,19,dark green,medium brown,rough and peeling,slightly straight,Ready
136,3.35,14,18,brownish green,dark brown,rough and peeling,very straight,Ready
133,3.74,16,17,dark green,light brown,smooth and soft,very straight,Borderline
112,3.33,16,18,brownish green,dark brown,rough and peeling,very straight,Ready
120,2.84,17,12,dark green,medium brown,slightly rough,slightly straight,Not Ready
100,2.59,10,10,yellowish green,medium brown,slightly rough,curved,Not Ready
175,3.17,9,17,brownish green,medium brown,slightly rough,very straight,Borderline
136,5.87,22,16,yellowish green,dark brown,rough and peeling,very straight,Ready
93,2.63,9,12,yellowish green,medium brown,slightly rough,curved,Not Ready
136,3.94,21,16,brownish green,light brown,smooth and soft,very straight,Borderline
144,3.06,17,22,brownish green,light brown,slightly rough,slightly straight,Borderline
147,2.38,11,12,dark green,medium brown,slightly rough,slightly straight,Not Ready
164,3.25,13,15,dark green,dark brown,rough and peeling,curved,Not Ready
178,3.23,13,17,yellowish green,medium brown,slightly rough,very straight,Ready
